Id,Label,fideId,elo,top_player
Magnus Carlsen,Magnus Carlsen,1503014,2857,True
Wesley So,Wesley So,5202213,2815,True
Anish Giri,Anish Giri,24116068,2785,True
Richárd Rapport,Richárd Rapport,738590,2698,True
Nodirbek Abdusattorov,Nodirbek Abdusattorov,14204118,2546,True
Alexander Motylev,Alexander Motylev,4121830,2651,True
Fabiano Caruana,Fabiano Caruana,2020009,2818,True
Garry Kasparov,Garry Kasparov,4100018,2812,True
Veselin Topalov,Veselin Topalov,2900084,2736,True
Alireza Firouzja,Alireza Firouzja,12573981,2702,True
Maxime Vachier-Lagrave,Maxime Vachier-Lagrave,0,2788,True
Shakhriyar Mamedyarov,Shakhriyar Mamedyarov,13401319,2767,True
Dmitry Andreikin,Dmitry Andreikin,0,2720,True
Sergei Rublevsky,Sergei Rublevsky,0,2702,True
David Navara,David Navara,0,2691,True
Peter Svidler,Peter Svidler,0,2765,True
Jeffery Xiong,Jeffery Xiong,0,2652,True
Teimour Radjabov,Teimour Radjabov,0,2788,True
Samuel Sevian,Samuel Sevian,0,2666,True
Ivan Cheparinov,Ivan Cheparinov,0,2681,True
Alexey Sarana,Alexey Sarana,0,2630,True
Baadur Jobava,Baadur Jobava,0,2711,True
Jan-Krzysztof Duda,Jan-Krzysztof Duda,1170546,2730,True
Pavel Eljanov,Pavel Eljanov,0,2742,True
Boris Gelfand,Boris Gelfand,0,2738,True
Vladimir Kramnik,Vladimir Kramnik,0,2791,True
Alexei Shirov,Alexei Shirov,0,2713,True
Krishnan Sasikiran,Krishnan Sasikiran,0,2639,True
Ferenc Berkes,Ferenc Berkes,0,2619,True
Vladislav Artemiev,Vladislav Artemiev,24101605,2746,True
Ruslan Ponomariov,Ruslan Ponomariov,0,2694,True
Andrey Esipenko,Andrey Esipenko,0,2564,True
Michael Adams,Michael Adams,0,2615,True
Laurent Fressinet,Laurent Fressinet,0,2717,True
Viktor Bologan,Viktor Bologan,0,2681,True
Denis Khismatullin,Denis Khismatullin,0,2651,True
Andrei Volokitin,Andrei Volokitin,0,2639,True
Markus Ragger,Markus Ragger,0,2632,True
Anatoly Karpov,Anatoly Karpov,0,2670,True
Sanan Sjugirov,Sanan Sjugirov,0,2643,True
Rauf Mamedov,Rauf Mamedov,0,2709,True
Gata Kamsky,Gata Kamsky,0,2762,True
Peter Leko,Peter Leko,0,2723,True
Kirill Alekseenko,Kirill Alekseenko,0,2638,True
Parham Maghsoodloo,Parham Maghsoodloo,0,2584,True
Gabriel Sargissian,Gabriel Sargissian,0,2686,True
Vladimir Akopian,Vladimir Akopian,0,2691,True
Alexander Moiseenko,Alexander Moiseenko,0,2707,True
Bogdan-Daniel Deac,Bogdan-Daniel Deac,1226380,2566,True
Anton Korobov,Anton Korobov,0,2708,True
Alexander Onischuk,Alexander Onischuk,0,2666,True
Zurab Azmaiparashvili,Zurab Azmaiparashvili,0,2679,True
Maxim Rodshtein,Maxim Rodshtein,0,2623,True
Samuel Shankland,Samuel Shankland,2004887,2705,True
Vugar Gashimov,Vugar Gashimov,0,2658,True
Emil Sutovsky,Emil Sutovsky,0,2650,True
Adhiban Baskaran,Adhiban Baskaran,5018471,2655,True
Vincent Keymer,Vincent Keymer,0,2502,True
Boris Grachev,Boris Grachev,0,2654,True
Arjun Erigaisi,Arjun Erigaisi,0,2458,True
Evgeny Bareev,Evgeny Bareev,0,2655,True
Gukesh Dommaraju,Gukesh Dommaraju,46616543,2547,True
Liviu-Dieter Nisipeanu,Liviu-Dieter Nisipeanu,0,2689,True
Romain Edouard,Romain Edouard,0,2625,True
